proposal_id,title_de,voting_date,feature,correlation,p_value,n,abs_correlation,significant
1,Bundesbeschluss über die Justizreform,20000312,einwohner,0.1428426905919999,7.380169759818544e-11,2060,0.1428426905919999,True
1,Bundesbeschluss über die Justizreform,20000312,bevoelkerungsdichte,0.3146887711574999,1.389314796251381e-48,2060,0.3146887711574999,True
1,Bundesbeschluss über die Justizreform,20000312,auslaenderanteil,0.2910215801614603,1.7019119985052196e-41,2060,0.2910215801614603,True
1,Bundesbeschluss über die Justizreform,20000312,anteil_0_19_jahre,0.16343830362877562,8.409581154513373e-14,2060,0.16343830362877562,True
1,Bundesbeschluss über die Justizreform,20000312,anteil_65_plus_jahre,-0.09154902132859818,3.163372511392725e-05,2060,0.09154902132859818,True
1,Bundesbeschluss über die Justizreform,20000312,haushaltsgroesse,0.06775296888600468,0.0020924373527947725,2060,0.06775296888600468,False
1,Bundesbeschluss über die Justizreform,20000312,geburtenziffer,0.08625751307669795,8.857825979380853e-05,2060,0.08625751307669795,True
1,Bundesbeschluss über die Justizreform,20000312,sterbeziffer,-0.1567102146763422,8.517543494086328e-13,2060,0.1567102146763422,True
1,Bundesbeschluss über die Justizreform,20000312,steuerbares_einkommen_pro_kopf,0.35785707667386096,4.256489608465102e-63,2054,0.35785707667386096,True
1,Bundesbeschluss über die Justizreform,20000312,pct_einkommen_ueber_100k,0.40494082337487797,6.810788643716493e-82,2054,0.40494082337487797,True
1,Bundesbeschluss über die Justizreform,20000312,pct_einkommen_unter_40k,-0.1219753175666777,2.9327493893453337e-08,2054,0.1219753175666777,True
1,Bundesbeschluss über die Justizreform,20000312,sozialhilfequote,0.17673035630202336,7.822412311389897e-13,1620,0.17673035630202336,True
1,Bundesbeschluss über die Justizreform,20000312,siedlungsflaeche_pct,0.4087610825621191,8.51960691098254e-84,2060,0.4087610825621191,True
1,Bundesbeschluss über die Justizreform,20000312,landwirtschaftsflaeche_pct,0.06416276483328186,0.003575113188114743,2060,0.06416276483328186,False
1,Bundesbeschluss über die Justizreform,20000312,wald_pct,-0.12332914202035397,1.958591204328749e-08,2060,0.12332914202035397,True
1,Bundesbeschluss über die Justizreform,20000312,waehleranteil_svp,-0.29925977571499307,7.939845938034071e-44,2057,0.29925977571499307,True
1,Bundesbeschluss über die Justizreform,20000312,waehleranteil_sp,0.27346022623569544,3.963149954426915e-36,2029,0.27346022623569544,True
1,Bundesbeschluss über die Justizreform,20000312,waehleranteil_fdp,0.25670565041391047,8.612421898930642e-32,2022,0.25670565041391047,True
1,Bundesbeschluss über die Justizreform,20000312,waehleranteil_gps,-0.03778007232760954,0.2588670543997101,895,0.03778007232760954,False
1,Bundesbeschluss über die Justizreform,20000312,waehleranteil_glp,0.42096243925544397,2.167515793226896e-84,1945,0.42096243925544397,True
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,einwohner,0.038568608379921966,0.0800992197161008,2060,0.038568608379921966,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,bevoelkerungsdichte,0.10826947272003834,8.412212378896738e-07,2060,0.10826947272003834,True
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,auslaenderanteil,0.2216056472545615,2.4665620262407185e-24,2060,0.2216056472545615,True
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,anteil_0_19_jahre,-0.0441110160125317,0.045302405021458644,2060,0.0441110160125317,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,anteil_65_plus_jahre,-0.060836846554933245,0.005743121361707969,2060,0.060836846554933245,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,haushaltsgroesse,-0.10876297079871716,7.492689636909152e-07,2060,0.10876297079871716,True
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,geburtenziffer,-0.02576829501912388,0.24238929717062752,2060,0.02576829501912388,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,sterbeziffer,-0.05872981879828183,0.007669875535438999,2060,0.05872981879828183,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,steuerbares_einkommen_pro_kopf,0.041342751776188194,0.0610189155731323,2054,0.041342751776188194,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,pct_einkommen_ueber_100k,0.04098481799971234,0.06329327855757966,2054,0.04098481799971234,False
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,pct_einkommen_unter_40k,-0.04094957713599946,0.06352094105066257,2054,0.04094957713599946,False
